分类 (Category),中文描述 (Description),提示词 (Prompt)
魔导师分享,甘雨,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},{{Ganyu_Genshin}},bangs,ahoge,curly_hair,short hair，blue_hair/purple_eyes,{horn_black_red},floral_print,night,summer festival,paper lantern,market stall,aerial fireworks,firefly,bloom,light particles,,"
魔导师分享,獒 水手服 碧蓝航线,"正：((((takao(School Romanza)(azur lane),pure white tie,no button)))),(black school uniform,black sailor dress,black clothes),(black crew neck,blakc short pleated skirt,black pantyhose:2.0),(white bow on black hair,white  ribbon on black hair),((((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)),((very long ponytail)),extremely detailed CG, extremely detailed 8K wallpaper, extremely detailed character,1girl,solo,((black hair:2.0)),black crop top:2.0,))，负simple background, vague, lowres, bad anatomy, bad hands, extra fingers, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,missing fingers,bad hands,missing arms, long neck, cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,bad hair,button还行的种子：1777208885"
魔导师分享,蓝毛猫娘,"1girl,animal_ears,bangs,black_ribbon,black_skirt,blue_eyes,blue_hair,blush,cat_ears,cat_girl,cat_tail,low_quality,cowboy_shot,hair_ornament,hair_ribbon,long_hair,long_sleeves,looking_at_viewer,meme_attire,open_mouth,pleated_skirt,ribbon,shirt,skirt,white_legwear,white_shirt,tail_insertion,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},thigh_strap,"
魔导师分享,xinnver,"three sided view,lolita fashion,curly_hair,bangs,ahoge,long_hair,platinum_hair,blue_eyes,smile,looking at viewer,holding umbrella,fang,slit pupils,gothic_lolita,flat_chest,"
魔导师分享,安洁莉娜,"angelina_\(arknights\), 1girl, brown_hair, animal_ears, shoes, twintails, gloves, jacket, solo, choker, hairband, black_gloves, shorts, staff, looking_at_viewer, long_hair, black_shirt, long_sleeves, thighs, black_footwear, holding, shirt, open_clothes, grey_background, holding_staff, black_legwear, sneakers"
魔导师分享,"1girl, white hair, long h","1girl, white hair, long hair, pigtails, blue eyes, animal ears, extra ears, fox ears, no headwear, simple background, beach, competition swimsuit,ray tracing,(ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,),(black pantyhose),(loli),,"
魔导师分享,炽热S的,"(fangs),animal_ears,(((cat_ears))),medium hair,seductive smile ,(closed mouth),((flat_chest)),((sunlight)),dramatic angle ,red_hair/red_eyes,(Red and orange hair),smile,sweater,"
魔导师分享,白色连衣裙害羞小天使,"Sketch,out-of-frame censoring,Soft Lighting,incredibly_absurdres,cowboy shot,Crown,white dress,Angel wings,style of granblue fantasy
"
魔导师分享,"starry sky,clusters of st","starry sky,clusters of stars,snow,lovely,straight-on,cinematic angle,female focus,white_hair,red_eyes,light smile,nervous,skin fang,horns,tag：masterpiece, best quality, extremely detailed CG unity 8k wallpaper, 1girl, beautiful purple eyes, wavy silver hair, crying, water eyes, looking at viewers, delicate Gothic evening gown, detailed lace and decorative border, detailed lace glove, detailed jewelry necklace, jewelry earrings, hair flower, snow, fog, violet garden, magnificent palaces, mountains, forests, night, detailed colorful star sky, cinematic lighting, super detLarge depth of field, oil,soaked,untied bikini,micro bikini,no_bra,see-through,clothes_lift,armpits,top-down_bottom-up,on stomach,"
魔导师分享,随便弄的,"
{{masterpiece}}},{{best quality}},{{highly detailed}},masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper,1girl,looking at viewer,huge ahoge,long_hair,gloves,whole body,leg,solo,white_hair,black_jacket,{{black_pantyhose}},D Cup,red_eyes,{{Leg ring}},{{Garter}},choker,tearing up,{{side ponytail}},high-heeled shoes,embarrassed
,crossed legs"
魔导师分享,白毛贫乳,"anime screencap,solo,ahoge,blunt_bangs,bob cut,white_hair/white_eyes,staring,thigh gap,eyes visible through hair,half-closed eyes,tiny_chest,"
魔导师分享,龙族少女,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},black hair, red eyes, horn,china dress,long hair, Ink wash painting,dragon horns"
魔导师分享,稳定出可爱天使的套装（反）,"​​lowres, bad anatomy, bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg artifacts,signature,watermark, username, blurry, bad feet,cold attitude,clear face,expressionless,"
魔导师分享,稳定出可爱天使的套装（正）,"masterpiece, ((best quality)),highly detailed,stained glass style,upper body,solo,(white_hair),long hair,yellow eye,petite,angel,halo,angel wings,white_dress"
魔导师分享,テスト,"unbuttoned clothes,Perfect female body,Chinese style,bishoujo,virgin,twintails,twintails,low twintails,short twintails,cityscape,Vaporwave,masterpiece,meticulous painting,smug doyagao,all fours,thighhighs,pettiskirt,plaid skirt,heart-shaped_pupils,"
魔导师分享,机娘(出图在640*640以上，要加负面词),"正：(((masterpiece))), (((best quality))), ((ultra-detailed)), ((extremely detailed CG unity 8k wallpaper)), (1girl) aqua left eye and green right eye, (short blue hair), (gradient to green), (transformed by machinery), knee robot joints, (((black pantyhose))), (white cloth),(artificial torso) ,(short skirt) black gloves with, high-heel shoes,{{mecha musume}},{{mechanical wings}}, {{mechanical legs}},((galaxy background)),((metal wings)),((close mouth)),ray tracing,(ray tracing,{highres}, original, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,),Floating Cannon in the back,((glowing eyes)),(((beautiful detailed eyes))),"
魔导师分享,琉璃夜妖姬,"upper body,(rain),Perfect female body,(short hair),(green_hair/green_eyes),smile,troll face ,(standing),(Put your hands in your pockets),light smile,Cape hood,wind coat,Raincoat,Rainboots,"
魔导师分享,666,"1girl, white hair, long hair, pigtails, blue eyes, animal ears, extra ears, fox ears, no headwear, simple background, beach, competition swimsuit,ray tracing,(ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,),(black pantyhose),(loli)"
魔导师分享,一点米山舞风格,"(extremely delicate and beautiful), (dynamic angle), white and black highlights,(beautiful and delicate eyes), blue eyes,black pupils, delicate face, upper body, messy floating hair, messy hair，short white hair"
魔导师分享,水墨画美少女,"1girl,chinese dragon,chinese girl,female focus on,
{{color Ink wash painting}},{{ink splashing}},{{color splashing}},{{{colorful}}},{{sketch}},
Masterpiece,best quality, beautifully painted,highly detailed,
"
魔导师分享,白毛萝莉,"masterpiece, best quality,huge_filesize,cosplay,loli,kemonomimi_mode,white hair,twintails,bangs,ahoge,sad,tears,expressionless eyes,beautiful detailed eyes,hoodie,pleated_skirt,socks,cross-laced_footwear,bandaid hair ornament,satchel"
魔导师分享,冷酷大姐姐天使,"off_shoulder,jacket,1girl,jirai kei,solo,red eyes,cold attitude,mechanical halo,best quality, {{masterpiece}}, illustration,{{official art}},{{beautiful detailed eyes}},half gloves,black mask,black hair,looking at viewer"
魔导师分享,4,"{{{Dusk(Arknights)}}},Chest support，ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,(ink splashing),illustration,(artbook),contour deepening,(((Ink wash painting))),(Chinese style),solo,young girl,((very_long_hair)),(gradient hair),(((hair over one eye))),hair between eyes,sidelocks,messy hair,hair spread out,(Dynamic hair),(red eyeshadow),((beautiful detailed eyes)),gloom (expression) depressed,((pointy ears)),cold attitude,((red_eyes)),((cropped shoulders)),( white cheongsam),((Black hair)), Dark green highlights hair, red strip earrings,Black windbreaker,(Red thin tie), black neckline,Glittering hair，(Bare leg), ((Chinese ink_long gloves)), (the dragon's horn)，(Dark green corner),"
魔导师分享,夕,"{{{Dusk(Arknights)}}},Chest support，ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,(ink splashing),illustration,(artbook),contour deepening,(((Ink wash painting))),(Chinese style),solo,young girl,((very_long_hair)),(gradient hair),(((hair over one eye))),hair between eyes,sidelocks,messy hair,hair spread out,(Dynamic hair),(red eyeshadow),((beautiful detailed eyes)),gloom (expression) depressed,((pointy ears)),cold attitude,((red_eyes)),((cropped shoulders)),( white cheongsam),((Black hair)), Dark green highlights hair, red strip earrings,Black windbreaker,(Red thin tie), black neckline,Glittering hair，(Bare leg), ((Chinese ink_long gloves)), (the dragon's horn)，(Dark green corner),,"
魔导师分享,粉毛九尾狐萝莉,"highres,{best quality}, {{masterpiece}}, {highres}, {an extremely delicate and beautiful}, original, extremely detailed wallpaper, one Fox Girl,{{{Nine fox tails}}},Small ear,Long hair, pink hair,pink dress,look at me,full body,"
魔导师分享,科,"three sided view,out of frame,perspective,Cherry blossoms,chinese style architecture,poster,outstretched arms,green_hair,green_hair/green_eyes,squatting,summer long skirt,boots,best quality, masterpiece, highres, original, 1girl, extremely detailed 8K wallpaper, an extremely delicate and beautiful, (summer_festival), fireworks, cinematic lighting, depth of field,floral headwear,"
魔导师分享,洛丽塔少女头像,"(portrait),({best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},),depth of field,blurry background,petite,(lolita fashion),slim waist,long_hair,silver_hair/cyan_eyes,pettiskirt,gothic architecture,hairclip,hair ornament,necklace,earrings,tassel,lolita gothic,lolita fasion,beautiful detailed eyes,veil,embarrassed,#负面tag可选#{Multiple people},lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit,"
魔导师分享,白狐，你喜欢的,"white pantyhose,squatting,Bare thigh,legs apart,fucked silly,strappy heels,unbuttoned clothes,fox_ears,Perfect female body,2girls,pov crotch"
魔导师分享,莫妮卡,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},{{{monika}}},beautiful girl,high ponytail,{sitting on chair},{upper body},{{{out of frame}}},blond hair,white bowknot,green eyes,skindentation,platform heel ((thigh boots)),school uniform,pleated skirt,sweater vest,white pantyhose,leather shoes,perspective,looking at window,lovely,school,cherry blossoms and blue sky outside the window"
魔导师分享,龙娘,"first-person view,full body,dynamic angle ,starry sky,clusters of stars,starry sky ,Loong, dragon background, loong background,marker (medium),dragon girl,very_long_hair,red_hair/red_eyes,pair of horns,sitting,hands on hips,jk face leg,orgasm,"
魔导师分享,白毛萝莉,"(fingers excluding thumb\):2), (fused anatomy), (bad anatomy\(body\)), (bad anatomy\(hand\)), (bad anatomy\(finger\)), (over four fingers\(finger\):2), (bad anatomy\(arms\)), (over two arms\(body\)), (bad anatomy\(leg\)), (over two legs\(body\)), (interrupted\(body, arm, leg, finger\)), (bad anatomy\(arm\)), (bad detail\(finger\):1.2), (bad anatomy\(fingers\):1.2), (multiful\(fingers\):1.2), (bad anatomy\(finger\):1.2), (bad anatomy\(fingers\):1.2), (fused\(fingers\):1.2), (over four fingers\(finger\):2), (multiful\(hands\)), (multiful\(arms\)), (multiful\(legs\)),Steps: 24, Sampler: Euler a, CFG scale: 6, Seed: 13301502, Size: 1280x768, Model hash: 925997e9, Clip skip: 2, ENSD: 31337,"
魔导师分享,黑发红瞳,"concept art,full body,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},,incredibly_absurdres,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,overall view,,Precise geometry,detailed manga illustration,tachie,Steampunk,library,realistic,ahoge,twintails,white_hair/blue_eyes,tail between legs,skirt_lift,,{photorealistic}, {painting}, {realistic}, {sketch}, {oil painting},Perfect female body,solo,slim waist,asymmetrical bangs,parted bangs,hair intakes,hair over one eye,black hair,red_eyes,detail fingers,cold attitude,beautiful detailed eyes,eyes visible through hair,hair over one eye one eye covered,Glazed pupils,,eyelashes,knee boots,lace-trimmed_gloves,fingerless "
魔导师分享,冰,"ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,,Skirt to crotch slanted to one side,seriousness, jewels, leg rings,gorgeous, noble,With long flowing dark blue hair, her eyes are like the sharpest frost, which can directly hit the hearts of others, as cold as ice. The corners of her mouth never turned up, nothing could make her smile, serious. Her clothes are noble, cold and gorgeous, and her tight pants are just for quick and convenient execution of tasks. As a killer, she seems to hide the ice blade in her palm all the time, using the ice blade, cloak, medium chest, standing,combat suit,fighting_stance,slim legs,slim waist"
魔导师分享,我流机甲术,"{{Pacific Rim}}{{incredibly absurdres}},{{{classic}}},{{realistic}},{{best quality}},{{Depth of field}} ,{{science_fiction}},{{cyberpunk}},{{masterpiece}}, {{light particles}},{{ultra-detailed}},{solo},{oil paint},{epic},{steam}, {A magnificent scene},{{knight}},shock,Warlord,{{war machine}},{{Titan}},city,Light,grey sky,{illustration}, {detailed light},rainy,{{silvery white}},white, {{pure white}},{colorful},{{chain}},extremely detailed 8K wallpaper,gandam,{{{metal}}},best shadow,shadowverse,neon lights,{{{{decorative pattern}}}},battle,flame,cityscape"
魔导师分享,梦梦,"to love ru darkness,Momo Belia Deviluke,starry sky ,outdoors,short_hair,short_hair,full body,best quality, masterpiece, high res, original, extremely detailed wallpaper,an extremely delicate and beautiful,beautiful detailed eyes,Holding the wedding bouquet with both hands,wedding dress,no shoe,blush,light smile,cinematic angle ,cinematic lighting,solo,purple eyes,,beautiful detailed sky,tail insertion"
魔导师分享,黑色比基尼的小姐姐,"miniskirt,areola_slip,suspenders,asymmetrical bangs,collar,long_hair,micro bikini,black stocking,latex,bra visible through clothes,high heels,from below,eyeliner,latex gloves,incredibly_absurdres,high saturation, kowloon,mature female,black_hair/black_eyes,solo"
魔导师分享,t,"from the Side below Black silk,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,,pleated skirt,heterochromia, ukiyo-e,poncho,,on bed,indoors,Aestheticism Painting,meticulous painting,maid,solo,young girl,ahoge,long_hair,no_nose,white_hair,red_eyes,looking away,lying on back,hand to own mouth,embarrassed,heart-shaped pupils,summer long skirt,white stocking,,"
魔导师分享,黑长直美女,"((({best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},))),(((ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,))),(((incredibly_absurdres))),(((game cg))),black hair,goddess,mature female,Perfect female body,detailed background,(((hands in hair))),hair ornament,((street)),Glazed pupils,,((solo)),backpack,headband,((close-up)),outdoors,beautiful detailed eyes,cropped jacket,detached_sleeves,pendant,wristwatch,closed,grin"
魔导师分享,正太,"first-person view,ray tracing,incredibly_absurdres,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},,loli girl moon night light lake glass,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,Cherry blossoms,shooting star,torii, ukiyo-e,{photorealistic}, {painting}, {realistic}, {sketch}, {oil painting},shota,bangs,sidelocks,ahoge,wolf ear fluff,white_hair,red_eyes,hand in own hair,heterochromia golden red,slit pupils,kimono,tabi,geta,Oilpaper umbrella,fox mask,beautiful detailed sky,ray tracing,glowing light,beautiful detailed sky,masterpiece,cinematiclighting,depthoffield,beautiful detailed water,ocean,chinese style architecture,no humans,detailed background,alpin"
魔导师分享,巨大萝莉漂浮在废墟之上,"masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper, (((1girl))),loli,little girl,(((ruins))),(((small city))),(((giantess))),(((giga size))),minimap,(((tall))),white bodysuit,white pantyhose,white hair,golden eyes,the wind blows hair,day,strong rim light,white elbow gloves,no shoes,short hair,bob cut,looking down,expressionless,slim legs,broken buildings"
魔导师分享,铃兰小姐提供的铃兰（只有人物，可改视角）,"a girl(close up,loli,Young face shape,flat chest,beautiful detailed eyes,
a girl,drooping fox ears,tan leather shoes,anime face,big forhead,standing,
a girl,low twin braids,nine fox insertion tails,Short hair,springgreen eyes,whier cardigan sweater,
a girl,pale yellow hair,white colored tips,white socks,
a girl,country mediumturquoise dress,frilled mediumturquoise hairband,red ribbon,)"
魔导师分享,我的女神,"papilla,(((black sundress with round neck,white T-shirt bottom))),{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {1girl}, {an extremely delicate and beautiful},foot focus,full body,beach,loli,blunt_bangs,,masterpiece, best quality, dusk, sunset, on the beach, comic, absurdres, wallpaper, girl, loli, nun, absurdly long hair, white hair, low-tied long hair, high ponytail, hair behind ear, red hairband, embarrassed , white eyebrows, heart-shaped pupils, stretch, cape, gothic, barefoot, white thighhighs, white garter straps, lace-trimmed legwear, collar, "
魔导师分享,巨型飞天机械魔鬼鱼,"(((masterpiece))),(((best quality))),((ultra-detailed))((extremely detailed CG)),((8k_wallpaper)),((an extremely delicate and beautiful)),
detailed floating huge mechanical devilfish through the clouds,on the sky,detailed cloud,science fiction,dynamics,sun,"
魔导师分享,白发红瞳猫耳萝莉基础偏幼(包含正反词条)可自加词条,"正((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)), ((disheveled hair)),{1girl},(loli),petite,(infant:1.2),white hair,red eyes,(cat ears),(one cat tail),{tail insertion},floating hair,dynamic angle,{{full body:2}},反longbody,lowres, bad anatomy, bad hands, missing fingers, pubic hair,extra digit, fewer digits, cropped, worst quality, low quality,Multiple knees,malformed ,limbs,fused fingers,{poorly drawn hands},missing toes,extra legs,"
魔导师分享,moon·EVE立绘前置,"from above,full body,indoors,masterpiece,highres,Unity Creations,game cg,artbook,intricate detail,"
魔导师分享,捧花少年,"solo,blunt_bangs,long_hair,black_hairblack_eyes,detail fingers,Holding the wedding bouquet with both hands"
魔导师分享,海上背心短发少女(正面tag 建议CFG拉到10),"1girl, solo, looking_at_viewer, smile, short_hair, open_mouth, bangs, blue_eyes, bare_shoulders, jewelry, upper_body, white_hair, earrings, multicolored_hair, choker, virtual_youtuber, tank top,water, off_shoulder, streaked_hair, tattoo, floating_hair,hairband,beautiful detailed sky,beautiful detailed water,Splashing water,sunlight,ray tracing,masterpiece"
魔导师分享,美丽,"hairjob,masterpiece, best quality,masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper"
魔导师分享,小萝莉,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,full body,floating sakura,petals floating in the wind,Cherry blossoms,gohei,outdoors,(((solo))),(((young girl))),(bangs),((ahoge)),((long_hair)),((white_hair)),((((aqua_eyes)))),[[looking at viewer]],((smile)),(standing),gloom (expression) depressed,(beautiful detailed eyes),phoenix eye,(Glazed pupils,),((aquagradient eyes)),((chiffon dress)),uwabaki,hairclip,hair ornament,cinematiclighting,(leg ring),((flat_chest)),"
魔导师分享,wow,"(((masterpiece))), (((best quality))), ((ultra-detailed)), (illustration), ((an extremely delicate and beautiful)),dynamic angle,floating, (beautiful detailed eyes), (detailed light),ultrahigh resolution,shy girl,（brown hair/hirblack eye）,a beautiful,（bathroom）,（(A towel around the body）),very delicate water,（mist）,,"
魔导师分享,洛丽塔狐耳少女,"White hair, red eyes, fox ears, black Lolita, expressionless, black high heels,white stockings, foxtail  {best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, 1girl  {an extremely delicate and beautiful}:"
魔导师分享,可爱爱,"foot focus,Cherry blossoms,tatami,anime screencap,short_hair,cat_ears,red eyes,crying,armpits,hidden hands,jk face leg,skindentation"
魔导师分享,开心的萝莉,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,full body,floating sakura,petals floating in the wind,Cherry blossoms,gohei,outdoors,(((solo))),(((young girl))),(bangs),((ahoge)),((long_hair)),((white_hair)),((((aqua_eyes)))),[[looking at viewer]],((smile)),(standing),gloom (expression) depressed,(beautiful detailed eyes),phoenix eye,(Glazed pupils,),((aquagradient eyes)),((chiffon dress)),uwabaki,hairclip,hair ornament,cinematiclighting,(leg ring),((flat_chest)),,"
魔导师分享,漫画狙击手,"A resolute boy, a brilliant and delicate giant sword, lilac eyes, light blue long hair, a delicate and perfect face, a silver armor with golden patterns, a robust body, and a dusk sky,,straight-on,simple background,comic,colored pencil (medium) ,mature male,profile,teenage,Little Boy,short_hair,black_hair/black_eyes,facing viewer,standing,hands on hips,slim legs,gloom (expression) depressed,ringed eyes,collared shirt,(denim shorts),boots,glasses,eyepatch,Baseball cap"
魔导师分享,莉亚（oc）,"1girl,shibari,flat_chest,loli,twintails,blonde_hair,blonde_hair/yellow_eyes,ahoge,lab_coat,white shirt,white hair bow,gray skirt,latex glove,knee boots,white stocking,laboratory,"
魔导师分享,韵,"white_hair,red_eyes,teenage,Conceptual art of futuristic yin-yang swordsmen,,sitting on chair,knife and sword,Red Moon, Crazy, Grey Coat, Night View"
魔导师分享,furry,"looking up,no pupils,empty eyes,drooling,messy_hair,open  mouth,,glowing eyes,(half-closed eyes,),(expressionless),open  mouth,Bare thigh,drooling,big ass,pigeon-toed,looking up,all fours,antlers,tongue out,seductive smile ,kemomimi,lilac_hair/lilac_eyes,Large area of cyan Pick dyeing,fox_ears,gradient hair,ahoge,tongue,2girls,,{{{small city}}},{{{giantess}}},{{{giga size}}},minimap,(((tall))),furry,"
魔导师分享,吸血姬,"{{masterpiece}}{{best quality}},1girl,petite,Depth of field,lens flare,extremely detailed,8k wallpaper,Amazing,beautiful detailed eyes,finely detail,score:>=10,Water, ocean, crystal, water droplets,"
魔导师分享,凯尔希,"arknights,
masterpiece,
best quality,
official art,
extremely detailed CG unity 8k wallpaper,
{{{kaltsit (arknights)}}},
light green white hair,
empty eyes,
expressionless,
bare_shoulders, 
detached_sleeves, 
flat_chest,
mature female,
 {backless dress},
medium hair, 
light green eyes,
cat ears,
highres,"
魔导师分享,城市风景,"((Bustling city)),(blue sky with clouds),highres,masterpiece,((Unity Creations)),high contrast,(Aestheticism Painting),detailed manga illustration,((pixiv id)),illustration,(solo),hand in own hair,high saturation"
魔导师分享,小泉友希（根据自己写的小说描绘的角色）,"single ponytail, smooth neck, delicate body  with poetic beauty, {an extremely delicate and beautiful girl}, cg 8k wallpaper,Red satin ribbon, masterpiece, smile expression,cute, , japan, red glasses，school uniform"
魔导师分享,满洲里第一,"pov,first-person view,upper body,cropped torso upper body,chibi,bishoujo,single sidelock,asymmetrical bangs,pink_eyes,pink hair,short_hair,barefoot,serious,fingersmile,expressionless,phoenix eye,white ankle socks,summer dress,sandals,flat_chest,"
魔导师分享,绝对不会崩的白毛红瞳美少女,"sliver hair,blue eyes,in the house,lowres, bad anatomy, bad hands,masterpiece, best quality, "
魔导师分享,白毛,"straight-on,portrait,on bed,anime screencap,photo (medium) ,Perfect female body,yuri,ahoge,fox_ears,bunny_ears,white_hair,eye contact,kneeling&setting on floot,"
魔导师分享,Philip,"bangs,ahoge,side_ponytail,short_hair,pink_eyes,pink_hair,chibi,straight-on,simple background,grin,eye contact,robot girl,"
魔导师分享,#白色猫娘,"召唤 (extremely detailed CG unity 8k wallpaper),(((masterpiece))), (((best quality))), ((ultra-detailed)), (best illustration),(best shadow), ((an extremely delicate and beautiful)),dynamic angle,{{{Animation}}},crayon painting,{cute},1girl,white hair,heterochmatic,red eyes and yellow eyes,cat ears,{{{wide white outlines}}},{cute},Normal human body structure,full body,Cherry blossom background,spring,angle,"
魔导师分享,gjk,"masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper,artbook,crossdressing,3boys,idol,white hair,grey hair,blonde hair,dusk,sunset,sea,lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet"
魔导师分享,头像,"curly_hair,ahoge,blonde hair,short hairjeans,evil smileevil grin,blonde_hair/blue_eyes,own hands clasped,knees together feet apart,standing,jeans,casual wear,white ankle socks,lace-up boots,necklace,"
魔导师分享,粉毛jk,"long_hair,pink_hair,legs up,blush,beautiful detailed eyes,serafuku,white pantyhose,art room,cute"
魔导师分享,我对我的数学老师有x幻想,"masterpiece, best quality, {best quality}, {masterpiece}, {highers}, original, absurdres, {an extremely delicate and.png, beautiful anime woman, beautiful detailed face, long_flaxen_hair, detailed azure_eyes, white_shirt, short skirt, pantyhose, high_heels, standing, perfect female body, classroom background, lighting,}, solo, "
魔导师分享,白色猫娘,"{{{extremely detailed CG unity 8k wallpaper}}}, best quality, ((ultra-detailed)), (best illustration),(best shadow), ((an extremely delicate and beautiful)),dynamic angle,{{{Animation}}},crayon painting,1girl,white hair,heterochmatic,red eyes and yellow eyes,cat ears,{{{wide white outlines}}},{cute},full body,Cherry blossom background,spring,angle,Wonderland, Kimono,Shinto shrine,"
魔导师分享,萝莉,"fishnet pantyhose,curly_hair,ahoge,blonde hair,short hairjeans,evil smileevil grin,blonde_hair/blue_eyes,own hands clasped,knees together feet apart,standing,jeans,casual wear,white ankle socks,lace-up boots,necklace,,"
魔导师分享,黑魔导女孩,"masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper，yu gi oh（Dark Magician girl）"
魔导师分享,金系魔法（自创）,"8k Wallpaper,grand masterpiece,highres,best quality,(ultra-detailed), illustration,an extremely delicate and beautiful,Delicate light,(((1boy)))，short hair,float hair，bangs，Platinum blonde hair，((((golden eyes)))),delicate eyes，(Majesty),Steady,looking at viewers，(Expressionless)，(sharp)，(scorn)，walking，Long sleeves,Light clothes,float clothes,Clothes made of metal,argent trees and leaves made of silver,Silver lake,Flowing metal，Liquid metal，close up
"
魔导师分享,可能是芙蓉,"long hair,parted bangs,purple_hair/purple_eyes,smile,seductive smile ,looking to the side,looking away,standing,hand in own hair,shushing,anklet,legs apart,between legs,Bare thigh,beautiful detailed eyes,black skirt dress, flower pattern in dress,black gown,Witch dress,Witch dress,strapless tank top, navel cutout,thighhighs,legwear,High heeled evening shoes,"
魔导师分享,黑发绿眼的团子头双马尾古风少女,"black hair，green eyes，from side,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,,raindrop,low twintails,double_bun,beautiful detailed eyes,Cyan eyes,Glazed pupils,,Han Chinese Clothing,cinematic lighting, volume lighting, bloom effect, light particles,Chinese style,glowing eyes,"
